Mixture	Astrocyte	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opc12.01	0	0	4.78315512364131	26.2170172792606	35.1499903969882	26.3657244871113	0.053	0.205012478276942	0.979825645093852	92.5158872870013
opc12.02	0	0.238855151141058	4.6449543582093	15.5847757771899	62.7278619851459	12.6915873397587	0.03	0.255132080123744	0.97401478992091	95.8880346114449
opc12.03	0	0.410141858220077	4.46836458685761	23.241382915413	91.9548074776342	26.158243284992	0.039	0.231598142131293	0.982385516757486	146.232940123117
opc12.04	0	0	4.69472682489722	8.30355956623598	55.960838978076	26.2604702722365	0.119	0.132142413427994	0.989478496918372	95.2195956414457
opc12.05	0	0	9.68805455467788	0.725226533503518	35.0329722654934	67.9939832286155	0.109	0.138802997533545	0.991341854546475	113.44023658229
opc12.06	7.44366573162345	0	1.83153166889076	16.1770903579871	44.9159102922214	81.2014600787815	0.013	0.337851901714087	0.983988981516282	151.569658129504
opc12.07	0	0	6.88589311336796	3.98353121702738	72.9976125257067	15.1486588997243	0.045	0.218512072347245	0.97495936494509	99.0156957558263
opc12.08	0	0.113274896111377	0.484728764499638	2.28647847881306	71.2819399094475	9.6118918155604	0.013	0.33186952959852	0.983167108136249	83.778313864432
opc12.09	2.83323856043401	2.66548480922498	59.3817156836783	10.9939618974845	29.1858258479559	6.74395486940933	0.0570000000000001	0.198626561884747	1.47033539470894	111.804181668187
opc12.10	1.83946178022808	0.712279761739588	6.70064831828755	29.5504019253439	44.6547553888296	28.4438399803063	0.121	0.129307533155535	0.990007746407654	111.901387154735
opc12.11	0	0.181766995622816	0.668640653100365	61.2014353057036	22.8099513566324	1.69540158266234	0.085	0.167898729845422	0.992849187160164	86.5571958937215
opc12.12	0	0	8.86535699797885	35.9555842278666	36.6016991204808	43.2333527513785	0.134	0.121119291931603	0.992375614024374	124.655993097705
opc12.13	0	0	6.60511646523834	10.9901192396507	54.1398095949995	29.5775081933872	0.045	0.220814896664386	0.975136595549343	101.312553493276
opc12.14	0	0.404187504343254	0.887021025735185	5.25800348600249	89.9568001088081	2.40500158904351	0.0580000000000001	0.197250846965069	0.989164632707109	98.9110137139325
opc12.15	0	0	3.75611146561146	33.9679722010884	1.28177762608878	65.5421585849206	0.645	0.000652085408467211	1.00301845689294	104.548019877709
opc12.16	1.70451744650126	0	6.46370243469411	0.930805665451152	71.7033163925135	29.8924902335865	0.11	0.137851558605918	0.988700677585362	110.694832172747
opc12.17	0	0	0	89.1305041940568	7.86503477255302	7.47429309648551	0.0590000000000001	0.194489642286338	0.991956674666736	104.469832063095
opc12.18	0	0	0.349165208725523	14.031490855794	136.490555056278	6.99898262447354	0.052	0.206652399447595	0.989713670663401	157.870193745271
opc12.19	8.1206950751956	0.227110386866532	7.14273358141023	27.3431927782265	48.3254311466737	0	0.096	0.150785222356883	0.987594511509702	91.1591629683725
opc12.20	0	0.589717276328138	137.187644068482	50.8858990486384	0	0	0.00600000000000001	0.440647832454569	1.60822744481122	188.663260393449
opc12.21	0	0	2.93186195357081	17.6005943816415	48.6895771245219	23.8295709888736	0.119	0.131855498513281	0.990738506407092	93.0516044486079
opc12.22	0.311040973191237	0	23.113844705284	20.2151629538954	34.7918235262784	29.012610244869	0.012	0.354706838520087	0.948755793587171	107.444482403518
opc12.23	0	0	0	5.29770346990586	0	89.5195755173365	0.0580000000000001	0.198184339081746	0.990239740334636	94.8172789872423
opc12.24	0	0	11.1595506191866	2.51945204007705	90.2695069350754	24.1888266609243	0.164	0.104409202752675	0.998949407812506	128.137336255263
opc12.25	0	0.162316135219323	0.708218997282652	96.5677158177659	1.86761434571137	1.75233689312336	0.0590000000000001	0.191723318157525	0.990872558090483	101.058202189103
opc12.26	0	0	0.331029068077967	29.3667998478183	78.3730298541331	7.29728278228753	0.028	0.264979593766137	0.98887470377708	115.368141552317
opc12.27	2.04637943910626	0.0260980831112194	7.20079513623215	9.45522361809664	91.0080585211568	14.8864180300111	0.087	0.164347847603079	0.984765687419511	124.622972827714
opc12.28	0	0	4.6674451455669	79.5607759429502	0.95913652089568	2.05159995021316	0.138	0.118562178201902	0.991388236666434	87.2389575596259
opc12.29	0	0	0.207212924401035	5.02773490544045	70.3767167169006	11.216509255167	0.036	0.236795712585454	0.988708716164986	86.8281738019092
opc12.30	0	0	7.74585892633411	2.6513496992138	0.722996889059254	116.348061466229	0.083	0.170997681190407	0.983444800411371	127.468266980836
opc12.31	0	0	28.4682156380513	72.6281361863695	16.7549000530785	8.80702248291273	0.375	0.0428161134403601	1.11766694748789	126.658274360412
opc12.32	0	0.0263582643748781	26.7841611879373	142.546052764062	1.30564941070054	1.62439017667491	0.326	0.0512887562632881	1.04932192469061	172.28661180375
opc12.33	1.04688123970329	0	1.69017543456899	31.9131127372906	96.7026091744992	8.97651736314264	0.087	0.165205977346279	0.991617215303597	140.329295949205
opc12.34	0	0	0.482353271502864	6.6189973188583	6.08956040031982	68.0641998951112	0.556	0.0127045205594383	0.998915873242322	81.2551108857922
opc12.35	0	0.321421294001241	3.92030258077446	17.0231110059321	68.6779536952459	13.2268148975541	0.265	0.0640291827080777	0.996911241259814	103.169603473508
opc12.36	3.33197834808129	1.19156918220274	65.4372288440043	44.5153944552253	6.26703753917123	7.66907088134764	0.005	0.448604095176125	1.1956550966123	128.412279250032
opc12.37	0	0.917494551699	0.725224529169532	109.16896184921	18.1141176210292	4.21197721589548	0.109	0.138804392762709	0.993942038107775	133.137775767003
opc12.38	0	0	1.4164161516368	47.7910120980466	50.4084488424191	1.33307182026911	0.108	0.140315689966846	0.992955335965684	100.948948912372
opc12.39	34.5157885563957	0.539470017702507	0.641099507157597	32.5513971340202	1.30195743001336	34.3298976137514	0.281	0.0605819952160196	0.997107993032287	103.879610259041
opc12.40	7.84223069404644	0.734919059252078	1.92885777375686	26.5714583741333	56.8270235241379	0.268626911853781	0.097	0.147019801597502	0.991372033460548	94.1731163371803
opc12.41	3.33204352804667	0	2.32683485096516	10.2316450893939	45.413721067762	34.9174362121401	0.185	0.0949535365140504	0.994187602459193	96.2216807483077
opc12.42	1.50931869885997	0	53.0124196147375	4.55914187810647	1.9747679363471	10.6993633881378	0.026	0.280550419914152	1.80065895409166	71.7550115161889
opc12.43	0	0	43.5627352711042	10.9534753031127	21.1503897608396	25.7943959818983	0.1	0.145093652640005	1.33884105103303	101.460996316955
opc12.44	0	0	8.63780607475784	80.0399686615852	29.7734143474955	9.80226759478094	0.2	0.0897059564925486	0.997127603418903	128.25345667862
opc12.45	0	0	21.8321578741637	47.3131092099664	21.3911891729247	10.3416034838985	0.094	0.154457118759568	1.05434201165198	100.878059740953
opc12.46	0	0	0.415719792415196	0	57.3226888561023	0	0.113	0.134971399483814	0.99237677183165	57.7384086485174
opc12.47	0	0	0.269817813855931	50.0613609940819	0.428890711645763	0.781484367954231	0.049	0.211107544280383	0.990107185936736	51.5415538875378
opc12.48	5.24404992910525	3.35838173126487	78.9446312416062	40.5810107412899	6.52143656239878	3.4989970194018	0.0600000000000001	0.190560694572552	1.55225839994413	138.148507225067
opc12.49	0	0	4.57751693341383	11.0814409341323	37.8318941539123	30.9425671940102	0.0580000000000001	0.195981040393182	0.980527552392681	84.4334192154686
opc12.50	0	0	3.42604624478016	1.0891928952007	1.50465444228702	75.504495848035	0.125	0.125396657479888	0.990336641718581	81.5243894303029
opc12.51	0	0	18.021441955297	0	35.354192027696	54.2989997584789	0.033	0.252706766616607	0.97870751961774	107.674633741472
opc12.52	0.198299407216173	0.758792791406867	1.17197593253663	61.1295414003494	35.4729683413769	4.54514505717122	0.038	0.234188736029198	0.98962730206791	103.276722930057
