Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	2.4277326742258	0.0438383914100625	0	0.246520102586278	2.90307498565031	3.53743535157832	0.014	0.255003093721307	0.98170666191973	9.15860150545078
opcBulk_12dpi_CKO_21725_tdTpositive	1.93449800141703	0	0	0.139928969661211	4.03527839845871	2.23520393065172	0.016	0.242792960615546	0.986268701056878	8.34490930018867
opcBulk_12dpi_CKO_22017_tdTpositive	2.11362478102689	0	0	0.164927887997633	4.15587635823602	2.82951713540515	0.01	0.302562754554312	0.982088350783754	9.2639461626657
opcBulk_12dpi_CKO_22208_tdTpositive	1.80024131820827	0	0	0.15025835001939	3.94638073688632	3.19135298074503	0.013	0.263932365078238	0.985031266712888	9.08823338585901
opcBulk_12dpi_CKO_22210_tdTpositive	1.92921277659446	0	0	0.180231202347113	3.6084548883699	2.98772902575831	0.014	0.253583084106769	0.984225913658839	8.70562789306979
opcBulk_12dpi_CKO_22363_tdTpositive	1.83257227090832	0	0	0.185386913469723	3.64280154290366	3.01934303605846	0.014	0.257198588544481	0.983751110456285	8.68010376334016
opcBulk_12dpi_CKO_22364_tdTpositive	3.31722685610284	0.0975785670017492	0	0.1588338908856	2.58408666873633	2.91326476815696	0.00800000000000001	0.325459292735272	0.97989636339078	9.07099075088347
opcBulk_12dpi_WT_22056_tdTpositive	1.93330338974838	0	0	0.505831096363116	3.80597060446099	3.12711596876023	0.011	0.283725730707998	0.968905896662084	9.37222105933271
opcBulk_12dpi_WT_22178_tdTpositive	2.22653395648078	0	0	0.380411516356017	3.4914882188661	3.34906424810843	0.01	0.291877037338132	0.9730265418603	9.44749793981133
opcBulk_12dpi_WT_22180_tdTpositive	2.95951006813491	0.201553387575151	0	0.178126956071927	3.5150459830706	1.89838709904573	0.013	0.264558633261843	0.983441495719434	8.75262349389832
opcBulk_12dpi_WT_22280_tdTpositive	1.91563972140576	0.00656990209320017	0	0.193503260411877	3.82327713233434	2.84842265223705	0.015	0.247859786583208	0.984214957417439	8.78741266848223
opcBulk_12dpi_WT_22281_tdTpositive	2.11501483159461	0.0517939393162631	0	0.211695592093769	4.48148253575121	2.23883265939227	0.011	0.275953471468951	0.981743009440782	9.09881955814813
opcBulk_150dpi_Tumor_16713_tdTpositive	0.341929192356018	0.000761267102791233	0	0.216603750905796	0	8.93329452548243	0.012	0.267180642328969	0.97904903652674	9.49258873584703
opcBulk_150dpi_Tumor_16839_tdTpositive	2.15551386188756	0	0	0	0.0273142548914059	4.69727835853654	0.003	0.447701324489357	0.97423723733784	6.8801064753155
opcBulk_150dpi_Tumor_16840_tdTpositive	1.7038859318619	0.00986993788167159	0	0.00199553390387652	0.0484288540836575	5.95493894081917	0	0.578043605981921	0.96596364712923	7.71911919855027
opcBulk_150dpi_Tumor_16844_tdTpositive	2.3254608381663	0.0348411164723912	0	0.0329779739729169	0.58495287280837	6.5200210298186	0	0.483963659825039	0.972878758287562	9.49825383123857
opcBulk_150dpi_Tumor_21256_tdTpositive	2.8946702228471	0	0	0.0244958069176352	0.421537053209062	5.85022662618661	0.005	0.35404271204617	0.980385305609919	9.19092970916041
opcBulk_150dpi_Tumor_21349_tdTpositive	2.06800059874243	0.0394674228305192	0	0.00288882519825142	0.0876757386921212	3.17974646547702	0	0.567046511046341	0.967108869504491	5.37777905094034
opcBulk_150dpi_Tumor_21354_tdTpositive	4.2325448640051	0.0656856947951848	0.146607135105529	0.0639642275099003	0.13382315247609	4.69425520039248	0	0.61210985720431	0.962092674885876	9.33688027428428
opcBulk_150dpi_WT_21590_tdTpositive	2.32898310238667	0	0	0.147089191385898	2.77810740867356	3.45470320342974	0.019	0.216886574033419	0.987588116403759	8.70888290587586
opcBulk_150dpi_WT_21591_tdTpositive	2.45094730155965	0	0	0.147623912676316	2.50497101708939	3.31396344484175	0.027	0.178829400936999	0.98984096512728	8.41750567616711
opcBulk_150dpi_WT_21592_tdTpositive	2.41702215421176	0.0193020836154496	0	0.106986652436974	2.81045009040874	3.11995731194888	0.023	0.197753919263228	0.989758642678001	8.47371829262181
opcBulk_150dpi_WT_21593_tdTpositive	1.37660805362499	0	0	0.226812834846181	2.31431180495395	4.94808464723734	0.017	0.229346006605813	0.983909409013681	8.86581734066246
opcBulk_150dpi_WT_22062_tdTpositive	1.08511288108275	0.0798948471646164	0	0.0600435047236666	3.60120231434013	3.47946446143749	0.016	0.238844336909049	0.989028287302495	8.30571800874866
opcBulk_150dpi_WT_22064_tdTpositive	2.87171720712344	0.0958454914384495	0	0.193165225342555	2.11669542597519	3.38017170894729	0.023	0.198114594550399	0.987334677965394	8.65759505882691
opcBulk_90dpi_CKO_20642_tdTpositive	1.30689404170752	0	0	0.214745742643378	3.3138260279059	4.1873707703988	0.015	0.247588538846314	0.98339654032913	9.02283658265559
opcBulk_90dpi_CKO_20647_tdTpositive	2.71193947767512	0.0348805086035625	0	0.195125336012897	2.69004753024581	2.83847403029146	0.017	0.231347878232122	0.98479656643197	8.47046688282885
opcBulk_90dpi_CKO_22146_tdTpositive	2.10394926741588	0	0	0.138274324238878	3.77956052444569	2.70249090386746	0.017	0.231426682512559	0.98721243452212	8.72427501996791
opcBulk_90dpi_CKO_22149_tdTpositive	1.78113340495753	0.051221624981846	0	0.189465843727413	3.37229707311482	3.81468081130714	0.016	0.236458076470764	0.985393096213102	9.20879875808875
opcBulk_90dpi_CKO_22152_tdTpositive	1.80170105569783	0	0	0.0955436455489202	2.96196613402004	3.52429452173156	0.013	0.264325676164009	0.986437009204151	8.38350535699835
opcBulk_90dpi_CKO_22154_tdTpositive	2.48432577226621	0.0104122514852669	0	0.120877064525143	2.89349879319628	3.29391694909334	0.012	0.267528462943467	0.98538355288154	8.80303083056624
opcBulk_90dpi_CKO_22212_tdTpositive	1.52509046139855	0	0	0.0859204710549571	3.89574110970543	3.60295213728998	0.01	0.289416869823313	0.98588150689286	9.10970417944892
opcBulk_90dpi_WT_22184_tdTpositive	2.01738599903718	0.113284362117884	0	0.190017601272087	3.23772611683093	3.0173006345408	0.017	0.222218485262246	0.986008420696041	8.57571471379887
