Mixture	Astrocyte	Microglia	MO	Neuron	OPC	PeriEndo	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	12.9175586591901	0	2.83405268117958	6.22588858034999	16.1718728983056	9.73126667830623	0.014	0.437325283691622	0.942429210942695	47.8806394973315
opcBulk_12dpi_CKO_21725_tdTpositive	10.7199856448392	0	1.42657944956154	8.6390598436462	14.7129741614462	6.25109271880009	0.049	0.241062733018002	0.98056467030599	41.7496918182932
opcBulk_12dpi_CKO_22017_tdTpositive	11.8951883580606	0	2.21071107306122	9.81475058567879	15.7463927049227	8.63011894012192	0.015	0.412853024708322	0.955803841770917	48.2971616618452
opcBulk_12dpi_CKO_22208_tdTpositive	10.6266690900548	0	1.55460576348048	8.80349281647657	16.7503876022812	9.32268835164609	0.024	0.330404209194708	0.972649988659017	47.0578436239391
opcBulk_12dpi_CKO_22210_tdTpositive	8.9548849976189	0	1.99614389576275	5.26105265761355	19.2602891488284	8.88436060714625	0.022	0.346571591545027	0.963990476598783	44.3567313069698
opcBulk_12dpi_CKO_22363_tdTpositive	10.2521690475215	0	2.51696488162824	5.56738214287482	18.501577654406	7.47314303503044	0.02	0.36415934375319	0.955234283308201	44.3112367614611
opcBulk_12dpi_CKO_22364_tdTpositive	12.1863784902555	0	2.16667011559291	5.89742105832669	17.160985423389	12.9009682133727	0.016	0.409812723676532	0.95747711517766	50.3124233009368
opcBulk_12dpi_WT_22056_tdTpositive	12.8493733532395	0	5.01487862793495	6.29081712926728	17.3693482396893	6.76671576237837	0.002	0.68983386680106	0.841776098795498	48.2911331125094
opcBulk_12dpi_WT_22178_tdTpositive	13.0964203236648	0	3.83245000154277	8.08421114212759	18.3171069346766	7.52461995906374	0.004	0.593339299090012	0.899488740644653	50.8548083610756
opcBulk_12dpi_WT_22180_tdTpositive	11.8247003690524	0	2.35092775776005	7.97846484050158	12.3760765986764	11.0664728756057	0.019	0.385467739918033	0.955179510222019	45.5966424415962
opcBulk_12dpi_WT_22280_tdTpositive	6.76783798414126	0	2.20299358573643	12.1803065611001	14.9966233126275	6.74364248420195	0.014	0.42677375901842	0.949836303655261	42.8914039278072
opcBulk_12dpi_WT_22281_tdTpositive	12.5696734454291	0	2.94630775763327	8.08364102070931	14.61865493993	9.22446086062318	0.014	0.445704937535914	0.939056063230769	47.4427380243248
opcBulk_150dpi_Tumor_16713_tdTpositive	10.7359177275526	0	5.69124109753959	0	54.1265790625381	1.20106033809352	0.023	0.337273895129075	0.949507028140303	71.7547982257239
opcBulk_150dpi_Tumor_16839_tdTpositive	13.5536044224493	0	0.113602116795625	0.509926387514326	22.0673205873975	0.53059900500301	0.00600000000000001	0.559174364744855	0.98408409661239	36.7750525191598
opcBulk_150dpi_Tumor_16840_tdTpositive	12.5915857816963	0	0.635099103912579	0	28.5149167502004	7.85403741146692	0.02	0.376291267398174	0.981833973218455	49.5956390472762
opcBulk_150dpi_Tumor_16844_tdTpositive	16.7762086768523	0.454367254784333	0.975190839228844	5.00664569837497	29.4268459060737	12.0912430431739	0.024	0.329511887194589	0.982914929805622	64.7305014184879
opcBulk_150dpi_Tumor_21256_tdTpositive	13.1447122538739	0	0.278883524279168	3.41712879648306	31.7962524329431	1.25369104129567	0.00700000000000001	0.52009377462852	0.983360765218039	49.8906680488749
opcBulk_150dpi_Tumor_21349_tdTpositive	7.46654482963029	0.0848005196343358	0.198617415343273	0.234230310821467	16.6318340610983	8.83774117642527	0.024	0.336594995152679	0.984797427715275	33.4537683129529
opcBulk_150dpi_Tumor_21354_tdTpositive	17.5167670011121	0	1.83340747394304	0	25.9276133709382	12.1568360923419	0.023	0.338442804868349	0.972201490755839	57.4346239383352
opcBulk_150dpi_WT_21590_tdTpositive	7.32861448095223	0	1.92292935319716	7.54231177699599	17.5117205965473	7.1562845261883	0.022	0.344426952922297	0.963641541792845	41.461860733881
opcBulk_150dpi_WT_21591_tdTpositive	10.3150149448207	0	1.60364321544603	3.60311762187415	19.5878823741381	3.96775810867411	0.0620000000000001	0.221828755187607	0.980234304181506	39.0774162649531
opcBulk_150dpi_WT_21592_tdTpositive	11.2345319004581	0	1.3275250618637	5.12175309748832	18.9078849647947	2.19702499552589	0.0659999999999999	0.209812007525383	0.983477795868075	38.7887200201307
opcBulk_150dpi_WT_21593_tdTpositive	10.791952394473	0	2.64296618171579	2.56315633515704	22.1067807642809	10.1710162276539	0.02	0.379369048226191	0.953849521128384	48.2758719032807
opcBulk_150dpi_WT_22062_tdTpositive	7.52154037053749	0	1.37210064392436	5.43170945997864	17.9012866396676	9.15292243440031	0.046	0.251365734743136	0.979529045325577	41.3795595485084
opcBulk_150dpi_WT_22064_tdTpositive	10.5676975552749	0	2.79130611499711	3.68276883973049	19.2401274837953	7.57732085993315	0.021	0.353100641204443	0.953400064613793	43.859220853731
opcBulk_90dpi_CKO_20642_tdTpositive	10.7995038914691	0	2.50813691299786	6.03638748392333	19.5782424869775	6.78706184488935	0.016	0.40767038006761	0.950006746657243	45.7093326202571
opcBulk_90dpi_CKO_20647_tdTpositive	10.4112947493506	0	2.77802863585744	4.00438610661944	18.8094634858263	7.6478905778481	0.015	0.422394843328506	0.941665003886114	43.6510635555019
opcBulk_90dpi_CKO_22146_tdTpositive	8.2476500056924	0	1.70519197318872	8.42452439914406	15.3010076958106	7.39404895778192	0.027	0.313045901300254	0.969945718962028	41.0724230316177
