Mixture	Astrocyte	Endothelial	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
control.01	2.8089012280827	5.37412061430984	0	1.49752904507698	19.7351944744683	32.5434037567811	64.855979541066	0.149	0.119443096049687	0.993613358280956	126.815128659785
control.02	40.5776540311242	14.1179721291439	0	6.16161301033249	19.6548250192969	15.8259754218514	61.5594240077879	0.158	0.11388029764134	0.991986962286981	157.897463619537
control.03	0	9.26151459678086	0.834867774782464	2.40465297400101	33.3967114965384	54.9421214543926	26.4205897928042	0.194	0.0938530634175235	0.994607488317889	127.2604580893
control.04	1.38046023993212	62.1210090926266	0	16.8285852327726	8.51871357836477	31.4231777626861	48.2616092172939	0.118	0.143962374000511	0.997313353632535	168.533555123676
control.05	24.0377380441119	2.3146591882966	0	6.00227618326589	29.9345725267344	35.6949699343042	33.0747045764359	0.097	0.157570574953924	0.986558987422716	131.058920453149
control.06	10.6774501791575	0.335380361744143	1.03268827533329	6.70467987465429	20.4066475934365	78.6613543754851	4.77637882490403	0.089	0.166082637378689	0.984787863835132	122.594579484715
control.07	15.0552703608898	17.8745311572049	2.5512000724729	5.34578911980508	45.0951718388823	40.0202788214985	26.3530530474402	0.071	0.183179693313043	0.984808023714383	152.295294418194
control.08	3.82593185964264	10.5856863254673	0	4.59369875604086	6.66221181453761	23.5146825753433	75.5528177008646	0.077	0.178809394405693	0.984558845362243	124.735029031896
control.09	25.2629495996098	0	0.477621682165612	3.16025868996975	22.8192649838571	61.7860962510244	24.4981010436159	0.087	0.168497157420773	0.989378840736125	138.004292250243
control.10	19.8117838274579	11.5382688390705	0	1.55723956448079	5.25530330552877	48.1909616112538	41.5948718140296	0.146	0.120678723705699	0.993528263031031	127.948428961821
control.11	1.98171647945069	0	0	4.03001378905695	61.9937509716067	26.8465458670655	32.1968707657647	0.144	0.12314159717297	0.991490821729327	127.048897872944
control.12	13.2834283398035	0	0	9.19590741496505	44.4041202286432	16.5487339956871	32.9509079916509	0.054	0.205909668780252	0.97697890130922	116.38309797075
control.13	1.44601814598254	13.3862620846921	0	4.20062417960218	26.4215073735015	32.4260700672386	40.7636793221884	0.071	0.183193135443266	0.984579954033519	118.644161173205
control.14	18.3761675998702	0	3.52189579308943	3.97419017231417	77.725708625566	8.34115232090983	14.8784208360948	0.135	0.130039948664555	0.990906641901948	126.817535347845
control.15	13.262588575265	13.2445502004594	0.945670425762296	4.68637203418078	13.352608790645	42.3433153836138	24.9063703802109	0.079	0.175722768265748	0.984548082195551	112.741475790137
control.16	15.4701584652379	0	0.772807734092347	0.744474853823805	43.4624798505353	27.6395670782577	26.7567452707513	0.108	0.148015106550263	0.994045131029975	114.846233252698
control.17	47.2640583955754	13.9377624761897	0	2.53986874984179	36.4181665684047	6.87012030639884	39.3991789775467	0.372	0.0453562478664292	0.99777010470058	146.429155473957
control.18	0	14.4335228199206	0	1.23493346115767	17.1320356380559	38.217028210852	59.6244100655851	0.198	0.0916705073346426	0.995009041044373	130.641930195571
control.19	0	0	0	5.3095557277477	42.5323256193772	16.2659831753643	44.1573794931674	0.085	0.170236029863741	0.984474233232789	108.265244015657
control.20	0	13.5938390374148	0	17.5602568931111	34.8471356089222	17.470884987632	79.893864750588	0.078	0.177747815708441	0.988610104701091	163.365981277668
control.21	0	22.614099357823	0.611454258219387	9.80975044990039	113.270374571016	5.47018508005476	37.071643967209	0.04	0.240810562291845	0.973418320589415	188.847507684223
control.22	10.7715036526989	0	0	5.91295650678395	66.2904326794359	13.2651946460193	55.3889904798324	0.119	0.143204216224404	0.988773603497594	151.62907796477
control.23	32.9984816044301	7.64942063408863	0	4.96889142105457	20.2523477745264	39.5088898750143	33.4139708038829	0.264	0.0713112977115649	0.996456453324632	138.792002112997
