Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	12.0608372905924	6.59399320065191	0	3.97743002047963	7.42141653699248	22.9055233317507	0.011	0.431867373924038	0.932145323437737	52.9592003804671
opcBulk_12dpi_CKO_21725_tdTpositive	12.180733781557	2.8758447336648	0	1.81324872391026	10.9481414379578	19.136662342411	0.045	0.236305101964705	0.979348126455995	46.9546310195009
opcBulk_12dpi_CKO_22017_tdTpositive	12.5414806132343	6.29783996103819	0	2.84250875065454	12.6100207849886	19.9379968195294	0.013	0.406259863953628	0.951491995719824	54.2298469294451
opcBulk_12dpi_CKO_22208_tdTpositive	13.3051931031754	6.11307759281456	0	2.14512720704374	11.3492175351763	19.7978745246461	0.027	0.320861609827414	0.969111864736564	52.7104899628562
opcBulk_12dpi_CKO_22210_tdTpositive	11.2694333235382	5.60373594484919	0	2.76030495894898	7.16396281956792	22.5147171178613	0.024	0.340406657742934	0.958810711321417	49.3121541647656
opcBulk_12dpi_CKO_22363_tdTpositive	12.8726620858003	3.99430917222924	0	3.41075637846391	6.13272075990593	23.3950359621851	0.02	0.358124717839096	0.950094254663401	49.8054843585845
opcBulk_12dpi_CKO_22364_tdTpositive	14.5363968424436	8.33562432431491	0	2.87412844477083	7.81825998809606	21.3887314894322	0.014	0.404498883244629	0.951289984356536	54.9531410890576
opcBulk_12dpi_WT_22056_tdTpositive	15.0315489674736	4.22756564683379	0	6.80211385510657	6.04988793974237	21.8526570309368	0.002	0.68891146076038	0.815794010607704	53.9637734400931
opcBulk_12dpi_WT_22178_tdTpositive	13.3934369321026	5.30805857020216	0	5.41987388947955	7.92860961977531	24.676239807633	0.003	0.588495480944136	0.879592282297848	56.7262188191926
opcBulk_12dpi_WT_22180_tdTpositive	13.1887221172887	7.04043840392418	0	2.923098694497	9.94167862694584	15.9777162930113	0.015	0.384991974364214	0.949991738885206	49.071654135667
opcBulk_12dpi_WT_22280_tdTpositive	8.85744428682343	3.99374889885202	0	3.00273300299918	11.4261269051927	20.0027226084529	0.012	0.419973492834992	0.94211899151538	47.2827757023202
opcBulk_12dpi_WT_22281_tdTpositive	14.0138288547969	5.73121487301528	0	3.55990333766971	9.80284910582331	18.0688679863905	0.01	0.447495857706887	0.933097097159959	51.1766641576956
opcBulk_150dpi_Tumor_16713_tdTpositive	11.9281209568055	1.61955812208465	0	4.59114539142471	0	40.5772546556757	0.00900000000000001	0.450907724325872	0.926057794399576	58.7160791259906
opcBulk_150dpi_Tumor_16839_tdTpositive	14.1313428290159	0.304908815438434	0	0.119917315433119	0.515851578227944	24.9297284598677	0.003	0.586492432230346	0.983003502738265	40.0017489979831
opcBulk_150dpi_Tumor_16840_tdTpositive	14.0026134528173	4.40445392280791	0	0.738949324388082	0	34.2372221624928	0.013	0.407095055877358	0.979108170926572	53.3832388625061
opcBulk_150dpi_Tumor_16844_tdTpositive	17.9850618615746	7.95534712574825	0.557763406014854	1.18598127751405	4.8480663563032	33.8914360410865	0.02	0.357876328539844	0.978679239320555	66.4236560682414
opcBulk_150dpi_Tumor_21256_tdTpositive	14.4437489054544	0.753626763729497	0	0.323982225424953	3.30141732130592	38.032277291093	0.004	0.544445357393314	0.981985719942245	56.8550525070077
opcBulk_150dpi_Tumor_21349_tdTpositive	7.73531056188817	6.15016151728913	0	0.249661321270829	0.175932249494343	19.6657764510532	0.019	0.359698374443901	0.980451074966571	33.9768421009956
opcBulk_150dpi_Tumor_21354_tdTpositive	18.1473991750407	8.01203015626712	0	2.23795252308162	0.0568811677599218	28.4670797590442	0.018	0.368116207708821	0.963993037472779	56.9213427811936
opcBulk_150dpi_WT_21590_tdTpositive	8.93223947089438	4.09428578018727	0	2.46652918798628	8.31204381358428	22.6497397047488	0.024	0.339653985531838	0.960478489938049	46.454837957401
opcBulk_150dpi_WT_21591_tdTpositive	12.5863534577745	2.29202630340403	0	2.10213251384153	3.15412450988086	23.5015721284844	0.053	0.214147189791384	0.979124814745947	43.6362089133853
