Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
control.01	3.49187971145782	6.27115080042238	0.238931655832569	1.92640307220597	33.0369664056012	26.93747211811	0.126	0.124172455394387	0.992002134136314	71.90280376363
control.02	5.63546968780194	7.14067047082539	0	15.523639278086	2.8548694289266	36.2917325607105	0.042	0.249858289713172	1.0164971430932	67.4463814263504
control.03	5.39554537892206	21.3429006943293	0.728771719334011	1.68891545216945	34.7174213757426	3.90831112730513	0.087	0.163686459671447	0.989089013844246	67.7818657478025
control.04	1.44358649248814	82.8958859045748	0.100447586799208	9.24484035167954	10.5521145320569	8.13172437741965	0.054	0.212635220160429	0.975210458178718	112.368599245018
control.05	7.29310594151849	25.8794679175919	0.0559575734335766	4.20386917895515	26.4944247688065	10.1969502452015	0.0620000000000001	0.199376072099671	0.979728661281556	74.1237756255071
control.06	4.09045060495251	14.0429133478888	1.27604503266391	4.11967074551528	42.2960189398076	1.62162635551984	0.04	0.256807512416611	0.970283454280173	67.446725026348
control.07	13.3435944667854	46.0923072818333	3.12075810318075	3.5398412821654	30.1638127766474	6.20623561230474	0.038	0.260035337145074	0.977624578215065	102.466549522917
control.08	3.07513668440743	6.40910109682958	0	6.3573692425643	29.1129439319599	34.3931414099583	0.07	0.18398147885904	0.981242543611711	79.3476923657195
control.09	5.55413528424328	13.3916165046849	0	3.41256005993987	40.663723835487	28.296324765388	0.074	0.176550795008107	0.985850335802298	91.318360449743
control.10	3.88872289049556	37.8922677265144	0.176023512629325	1.39231335412956	23.4757454836224	1.61600804284716	0.07	0.184770301725429	0.987033773633443	68.4410810102384
control.11	4.42618636690751	10.4215272827528	0	3.12331856202571	16.8741682214328	13.9892010969964	0.102	0.148273610386928	0.987246460710138	48.8344015301152
control.12	6.23525092885505	35.7496432190518	0.0141889742378286	8.78299982014433	5.18083984425724	18.5861199284674	0.031	0.294717802850059	0.953636246306502	74.5490427150137
control.13	2.53544702313979	20.1576210942714	0	4.07677266571515	38.4207664701448	23.2455457162882	0.0649999999999999	0.197844189882028	0.981759360535519	88.4361529695594
control.14	7.63089642242178	8.93277154439899	0.445613184594067	0.252035442604705	27.8904088504052	4.73924087843665	0.0679999999999999	0.190313592794964	0.992370578336402	49.8909663228614
control.15	7.43838027224571	10.2699750385524	0.836536615756878	8.79981391656202	47.647924233968	3.85892516387882	0.043	0.247065097845248	0.967460917588607	78.8515552409638
control.16	6.09383746932269	17.2437823947557	2.20077035044478	0.418286240983476	20.778430677581	3.96621169523917	0.158	0.106125199935383	0.994701260886614	50.7013188283268
control.17	23.8504038871403	28.1608422963349	0	3.00484354074519	6.56778385800393	10.683868820182	0.368	0.0378549642856274	1.00018000539186	72.2677424024064
control.18	2.17957915062434	15.7098374917065	0.766714355420428	0.949319110995661	43.9722003361678	8.0174754953472	0.053	0.217808228999587	0.988780340582409	71.5951259402619
control.19	1.73915743915882	4.68424115635383	0	7.1078132439871	9.77479179787296	28.8622371981903	0.043	0.2455278946274	0.971746688565943	52.168240835563
control.20	0	4.14526348209063	0	41.2133079237086	5.29270699895172	69.9634653977853	0.037	0.264729031759839	1.12016840831235	120.614743802536
control.21	1.64245763612006	61.4354839982526	0	17.5961968481993	2.14051721929199	45.4864680869234	0.046	0.237866622247474	0.974663605033713	128.301123788787
control.22	10.5863796666991	52.5867704367127	0.0591280784388835	12.0662844633762	21.3598582657824	3.38464981253975	0.087	0.163337803120932	0.993745909350158	100.043070723549
control.23	36.3456158793904	18.653474082968	0.234486930572315	2.8921889696344	21.9228199299149	6.81885343165302	0.208	0.0840058212254849	0.994893736312838	86.8674392241331
control.24	3.38408790570083	36.6495066823178	3.80052530457372	5.78619056962183	13.6054627178985	1.80151081159424	0.184	0.091691261624369	1.00256156975848	65.027283991707
control.25	6.24783165163224	27.7091180570165	1.08870487678447	0.878754689484376	20.8623215808346	13.1671994518463	0.026	0.315419250676656	0.982829052612477	69.9539303075986
control.26	0	12.0617627917572	0	3.18824451850671	7.74269569733485	79.240107494221	0.195	0.0871457880059305	0.994574636936185	102.23281050182
control.27	2.13062675154439	2.77871726366301	0	3.32312843787724	42.7938960681002	23.0662735865298	0.128	0.123719018923844	0.990712367698132	74.0926421077147
control.28	16.0777553193575	27.2246494638574	0	3.16643228407731	13.3359101665846	13.6775579797886	0.116	0.134935295004926	0.98940787919109	73.4823052136653
control.29	4.84732006179382	8.38129109248277	1.46614071082094	16.4851476680439	17.4236547408879	7.35105868450336	0.111	0.139873393528559	1.14509980529398	55.9546129585326
control.30	2.69341789032572	6.09960393761957	0.353328008950415	7.83919727748272	53.6406982665138	5.3414662806012	0.024	0.326477432005425	0.946126128491965	75.9677116614934
control.31	0.456677651937766	10.1147543832187	0	3.73366749825458	35.7558191074361	23.7663770758547	0.069	0.185686156328259	0.982556420890239	73.8272957167018
control.32	13.238450461978	19.5998295571752	1.66146929682666	1.11980355339657	12.0147558929505	4.50733236999871	0.196	0.0870164319980614	0.99483690720201	52.1416411323256
control.33	11.3700710715243	17.7852188021806	0	29.1952376735038	0.539465016872079	27.2252859124969	0.069	0.189049130294951	1.17023489626266	86.1152784765777
control.34	0.131977299727357	2.77823392720786	0.563888313976759	0.0418362473014626	53.5027413226006	0	0.053	0.217374139490199	0.989202631152915	57.018677110814
control.35	11.0352324903869	17.508669499877	3.34407638051756	5.25540143080693	33.4647783523085	2.28523489016977	0.054	0.212892904530207	0.97587392459893	72.8933930440667
control.36	10.2919554142408	30.13572443983	0	9.11634182076419	16.6861613624685	18.972375316486	0.026	0.314855130807302	0.94857148112617	85.2025583537895
control.37	2.80810185681373	17.6642456090395	2.21774743408191	8.735613960549	21.3426046371594	8.65454609063425	0.016	0.381465843192634	0.923029896054045	61.4228595882778
control.38	9.23646720323454	41.8195384624783	0.68380408288326	0.116652615493578	5.3447217173924	3.7254367918271	0.055	0.212168114254197	0.985671547917716	60.9266208733091
control.39	12.5719661137432	3.17916367035858	0.688272012411487	3.61540311314955	22.9932603679223	17.2538742038664	0.101	0.149835308208156	0.986997690954049	60.3019394814514
control.40	7.51518069613004	3.25420422509689	0	8.69676798124716	32.3126581758741	34.6220656731022	0.039	0.257339385222066	0.964490958757552	86.4008767514504
sample.01	11.1396612056879	3.78369612379366	0.116866774163864	102.870237777007	2.841051704115	1.04211359075548	0.021	0.360011865047681	1.93945573636741	121.793627175522
sample.02	2.13444317561694	24.2588940308118	0.275195124392684	1.35579292411932	13.9246828214283	14.1483980266191	0.018	0.374537827188728	0.972405117804659	56.0974061029882
sample.03	4.77857797651498	23.5508738093162	0.480692872291238	8.07885668297558	15.8675875017145	2.14585674058236	0.00900000000000001	0.515904843677081	0.868689587372011	54.9024455833949
sample.04	2.41272831941789	16.7895135616754	0	16.1412117509915	1.5656124335066	38.9734736187036	0.00900000000000001	0.495676576773134	0.867142384340002	75.882539684295
sample.05	10.3140947238046	13.8513978435694	0.636367145293212	3.84370617449698	27.9418667392332	1.30252663897926	0.0580000000000001	0.20531092457162	0.97777383659003	57.8899592653767
sample.06	3.75269445994382	48.3903184272191	0.141177855120292	32.4509513266965	3.5198874887993	0.504275167603425	0.01	0.482050170504346	0.966257672280647	88.7593047253825
sample.07	6.70351983510027	76.8150463392472	0	2.12694046842248	0.843155960803908	2.27638551599552	0.00900000000000001	0.532423837962366	0.945465903990626	88.7650481195694
sample.08	2.97063611544296	40.8028640576804	6.2985817258481	4.09089881766859	5.40596533605737	21.4101191963965	0.023	0.331506347565119	0.96178138480644	80.979065249094
sample.09	18.457657411157	43.134753108871	18.4716712879636	4.9986623353697	1.48703060076165	4.79955348172127	0.042	0.249773002197849	0.97213562082116	91.3493282258442
sample.10	11.8022872413914	14.0893236239114	0.64935133649528	6.7438880243262	31.6090718589282	5.42255033638951	0.046	0.239175175791117	0.969116918634928	70.316472421442
sample.11	8.47281742228077	13.0959045513786	3.01241310398712	4.02455919957381	28.5157940108258	2.86540495438764	0.0669999999999999	0.194470619322433	0.979515778935868	59.9868932424337
sample.12	2.46027612902976	1.68614620556785	0.140612091266862	2.28783247261992	44.1494813038746	0.676763012306614	0.0620000000000001	0.200688159777301	0.981645138876587	51.4011112146656
sample.13	3.88296435386987	2.10823174769927	0	4.40388196173625	4.98966270844329	39.2491135686246	0.175	0.0961818149344124	0.999362801122446	54.6338543403733
sample.14	1.87893750356164	17.2415064097984	0	16.5331478181447	8.25638622194811	43.5993847694817	0.011	0.435820754024907	0.898617442006467	87.5093627229346
sample.15	5.80742052606187	9.91687500863336	0	21.2442674912751	9.4545857312644	31.9297952312896	0.002	0.719042085674682	0.695833304186651	78.3529439885243
sample.16	0.333409194331685	88.0421099464427	0.0120415281812441	0.853363591572389	0.0466018119924615	0.075124409907343	0.01	0.470434182115357	0.952995895352509	89.3626504824278
sample.17	5.01591960212666	7.116319886187	0	3.72063219556942	4.62412511028311	28.066927895459	0.046	0.238088308640826	0.970476706770033	48.5439246896252
sample.18	2.58922752768062	10.9830673146072	0	13.4720951477482	0.301383610000468	55.7254429469669	0.00900000000000001	0.498546382355097	0.870394339421689	83.0712165470034
sample.19	0	108.77263811763	0	17.2803264085001	0	42.7761522200182	0.031	0.295847453550069	0.95398834147732	168.829116746148
sample.20	5.3139247775796	42.3615924116027	0	19.7260862411185	9.92167686573841	18.5437367122438	0.035	0.284905821208267	0.98136889230569	95.867017008283
sample.21	11.5169327771672	31.9403059122133	8.02186108857886	13.946312121942	2.82497124479292	0	0.00900000000000001	0.525946006659458	0.84916242769158	68.2503831446943
sample.22	7.08529073166338	68.9031473815914	6.40139073548534	2.3958839629314	13.1678027540657	5.03348648141816	0.022	0.33771759539374	0.971630024779578	102.987002047155
sample.23	3.58019534002865	43.364607841041	1.63508454320822	1.32370844130469	0.265172864159006	19.8089324601085	0.018	0.373809126878626	0.971061301237103	69.9777014898501
sample.24	11.8877127491836	21.1036090441273	1.5208881579587	0.530885320865508	17.8551185899791	3.21943491400662	0.139	0.116272737467559	0.994071414585866	56.1176487761208
sample.25	3.05910991857998	68.1005750246839	1.48405107637705	38.0872868097058	1.92073703284385	0.130658317286532	0.012	0.422776295355822	0.989948158692321	112.782418179477
sample.26	0.661156008919145	59.0174352687729	0	8.06457004914994	13.4656092557563	7.94911745886573	0.116	0.134255354735342	0.993660792701352	89.157888041464
sample.27	5.29458971395862	26.3524439217633	0.0217771963989505	3.20093901302283	3.48315436694625	12.5059496478998	0.023	0.329531735238432	0.956799293613856	50.8588538599897
sample.28	4.77248224197726	2.93998615255745	0	1.50319402421514	17.5474131231708	32.7514369715107	0.087	0.162114526206699	0.98945935651014	59.5145125134314
sample.29	20.8355077764497	11.6360286506057	0	0.0988071867352503	22.4969324031058	7.9104204469968	0.072	0.177845212769125	0.99404680367684	62.9776964638933
sample.30	9.66023715597961	6.67632114866046	0	0.0471932931726981	5.14896204090999	37.2943942967998	0.123	0.126756026100119	0.99546878743901	58.8271079355225
sample.31	7.65559564012195	27.2969299940616	0	1.24052123615286	18.7710169630467	10.5657746490458	0.093	0.157174344817396	0.990286323515526	65.5298384824289
sample.32	11.1254999816242	4.10520790259928	0	21.9088518310278	16.2298412999603	68.8349148689042	0.022	0.350607235339477	0.939025043636978	122.204315884116
sample.33	22.8552663459803	4.11123331594483	0.180493884093172	3.46037934973581	32.3061102722711	6.21081161961314	0.0679999999999999	0.193161542481162	0.981917071322266	69.1242947876384
sample.34	2.37540133987907	23.7801864332645	0.562582781496015	1.12091566777629	25.5693035521601	4.0568702743288	0.0669999999999999	0.194245920846808	0.987548323462522	57.4652600489048
sample.35	12.2409487548717	19.2803031865505	0.691173112362479	13.5422966061354	18.531158980968	7.92215166972993	0.00600000000000001	0.587543887741205	0.817680152001679	72.208032310618
sample.36	22.6634874333941	1.8680316609411	0.541509483547362	11.7285432371055	0.515206814099044	82.9180626143143	0.0620000000000001	0.199574133000909	0.979051234917272	120.234841243401
sample.37	3.42901989280816	26.2801881639888	0	31.7986444669412	8.14447787576879	45.605734724916	0.028	0.307300586622415	1.01866371222996	115.258065124423
sample.38	7.17715990717326	13.4328852198316	0.305437022958321	1.45620639782739	1.44210560475756	3.26727844351265	0.046	0.237248600962129	0.974453366555944	27.0810725960608
sample.39	0	13.67000533166	24.1546748600554	0.258559160632606	48.4332743176853	5.09237670928191	0.229	0.0746702474147099	0.995896409583684	91.6088903793152
sample.40	23.1055568304711	33.7751881468817	4.75150755789361	20.9366788168575	1.11752821675122	2.45190730504093	0.00600000000000001	0.577338560419006	0.815061292439741	86.138366873896
sample.41	3.10790131349993	2.9150970014582	1.12792001091515	2.80133970494441	42.5013876239804	11.1925028317757	0.048	0.227914339429754	0.978731315529379	63.6461484865738
sample.42	14.0994429956348	38.0354019937164	0.850819368643117	1.33505931169802	10.1056522367277	2.04372669571227	0.047	0.235371893678973	0.983106111068311	66.4701026021323
sample.43	13.1831004051926	73.5530432499138	0.64323366132683	12.0965221115287	2.81531271043996	25.0912522432472	0.036	0.274773527627908	0.960229796097506	127.382464381649
sample.44	2.4709507469406	0.147533806978271	0	1.43372062944039	17.0416298112544	28.512699178816	0.084	0.167231030602938	0.98821698034015	49.6065341734296
sample.45	6.59195484203637	12.1237480097062	0.262337775708813	0.906182033613261	33.3434642297062	14.8979447875933	0.069	0.186561635827968	0.990987706236421	68.1256316783641
sample.46	10.3924592055831	21.8046558535645	4.05232636460147	0.629827093880968	30.5305848942208	23.954636548727	0.024	0.325472774233502	0.987355097001378	91.3644899605777
sample.47	1.99781422762933	24.0585986027799	0.334927260589556	1.95444140513167	10.3198014112091	8.46180739803999	0.043	0.246712566875875	0.976267847067661	47.1273903053795
sample.48	12.4424796032687	42.8794507160596	1.14200099506445	11.9440692829773	1.80469254205265	9.85486818617768	0.021	0.360489673565172	0.930834871304272	80.0675613256004
sample.49	4.58723110730465	17.8982577490765	1.56764652189455	0	10.9685598859767	3.87553318861667	0.0649999999999999	0.197847666051211	0.98985580507019	38.897228452869
sample.50	9.16448153110169	21.6751693286602	17.0837118888417	13.9385169167242	6.54668461727014	1.93110456008726	0.021	0.353278552051242	0.942819384579435	70.3396688426851
sample.51	4.20910860892523	0	0	89.6047006424859	0	64.3773650630313	0.002	0.683410999830932	1.01325047038989	158.191174314442
sample.52	5.9976056378967	76.9791966535994	0.28567381183704	1.3474798568288	0.858389052885688	0.886274161444381	0.022	0.339503629778912	0.968767024333872	86.354619174492
sample.53	10.6504342911409	5.23356089924524	20.1567580441135	29.8949905748976	0	53.8739213216208	0.004	0.647916838291688	0.761085507942492	119.809665131018
