Mixture	Astrocyte	Endothelial	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opc12.01	9.60145823251075	32.1645817858118	0.0814386583347672	1.44799586151141	19.6722075968713	27.8591878374418	26.3749019050003	0.025	0.292875812646712	0.976621719212481	117.201771877482
opc12.02	3.37629726717208	8.37681979188968	0.101568654040054	2.49744756614241	25.461540012143	47.2409035950515	14.8380016256259	0.024	0.301157568267319	0.978030761041937	101.892578512065
opc12.03	22.070704537984	13.5099683699157	0.74964395873152	3.45882550046596	24.0538699981271	67.3253195568995	7.00644408144954	0.042	0.246935549858178	0.982108420038107	138.174776003573
opc12.04	8.58921665277264	4.97075464324347	0	3.12936485241629	12.768967012067	43.3663270185461	43.7842195547211	0.19	0.0893597057546834	0.994609214097544	116.608849733767
opc12.05	30.6149456588378	15.4948161252781	0	3.93990148072791	12.4214274437866	28.6521222802293	50.598233397071	0.163	0.10569626949531	0.993099733310853	141.721446385931
opc12.06	34.3788067668736	18.9282976841295	0	0.90052274989985	16.5841753949659	23.427804102165	45.6410608164263	0.108	0.149431901340324	0.992082327757024	139.86066751446
opc12.07	31.7343136622401	0	1.0833370117873	5.69818673919046	25.3068713832333	52.6351188433628	13.3653036519545	0.108	0.14680096874725	0.988117965500472	129.823131291769
opc12.08	4.8989933145198	30.3668189157659	0.485636410444224	0.292788296162411	23.7556225843859	39.8933897041429	10.5540291106256	0.081	0.175481898451087	0.987467375907417	110.247278336047
opc12.09	1.20154321819519	72.6778924508101	0.785490022586054	13.2988291450519	13.1717911143905	8.42578470390453	3.98686780917581	0.052	0.216884398408006	0.983284491991376	113.548198464114
opc12.10	32.3656911491939	25.3555146272763	1.47907630878878	3.48949124730949	31.2777388963213	10.1170544806495	18.2429122615665	0.122	0.1330090499607	0.990168339325333	122.327478971106
opc12.11	9.93746792377861	35.4678536764532	0.29330846715287	0.579197939914657	42.4591900505984	2.88167106025337	13.6130111289966	0.129	0.125030534139008	0.990940287736451	105.231700247148
opc12.12	14.4395033968475	36.1061990440984	0	4.15168319024124	21.5898019259647	21.2856851619667	25.4954253990326	0.139	0.116992632550498	0.991545406245661	123.068298118151
opc12.13	1.92833099301667	5.98690308062971	0	8.56563356744599	15.3602001496096	24.1957833365945	58.4407200608524	0.079	0.180875523357959	0.982144431013212	114.477571188149
opc12.14	20.643924621325	14.2856844709083	0	1.39480787887864	20.8346439633878	75.4353082784292	1.68322554079514	0.141	0.115146074824416	0.993843766628043	134.277594753724
opc12.15	2.67407885715586	0	0	1.83580747518754	18.8699112017548	0.892527659694757	96.2352646766923	0.434	0.0266547349328697	0.999273811033968	120.507589870485
opc12.16	17.8060787436364	0	0	3.96620986588481	27.8480112045287	45.0070188782045	47.8311547850201	0.113	0.140098294483886	0.990459804467668	142.458473477274
opc12.17	23.3488496726775	53.6267157189017	0.221350006386769	0.305993092532644	31.39135118251	7.88986131743772	0.979914374010701	0.053	0.211693078467176	0.979537029252411	117.764035364457
opc12.18	0	15.8887554213394	0	0	50.0708294938995	50.4409113690732	30.8047663623009	0.128	0.126245186812267	0.993781600917923	147.205262646613
opc12.19	34.7398377364922	22.1845209070976	0.0661764678541031	4.00003056758232	17.5713281681011	27.535959779366	11.8830066046884	0.135	0.118787981666938	0.991481465741632	117.980860231182
opc12.20	24.7831229377209	6.26094490666479	1.25586111080848	62.1664758279614	114.901559826666	3.06617741880319	30.9594821411458	0.017	0.328774447046216	1.00283913688901	243.393624169771
opc12.21	21.5611030210932	11.501443546968	0	2.17742876688599	26.0496563126656	23.0354811367995	28.6419881936966	0.14	0.116029007271162	0.993036899717965	112.967100978109
opc12.22	4.45176963032755	37.2052922820743	0.999550042291359	8.07068235914621	36.198208765845	24.9669943087966	12.4212552858191	0.014	0.355657544646514	0.947362326704518	124.3137526743
opc12.23	0	0	0	0	19.3963748429207	1.29142325469967	88.2283644575115	0.204	0.0843159456611236	0.995578397541107	108.916162555132
opc12.24	24.2700450708903	4.6735789421187	0	6.39134898882393	21.219368170585	63.5594506017604	30.2953945339999	0.206	0.0829961095824373	0.995678974190939	150.409186308178
opc12.25	10.1574883027688	11.0560923085677	0	0.801872701721397	65.8980945794063	1.61741806475279	28.7546369951258	0.031	0.259894146135532	0.985957591373136	118.285602952343
opc12.26	20.4763295469886	9.03009042306412	0.599493418395467	0	24.2977131849136	34.5680413966417	7.86329429147407	0.043	0.239473866711309	0.989461175682491	96.8349622614776
opc12.27	25.2553971782902	18.8606208184653	0.74592652289327	4.69865694909593	14.2767014350266	54.5263632223084	1.58361715947164	0.074	0.186098166535744	0.983575975696164	119.947283285551
opc12.28	0	0	0	8.46186904817259	157.810971831809	1.74057608928829	0.143143990054828	0.145	0.113920543656811	0.99238170006083	168.156560959325
opc12.29	0	6.3930581735297	0	0.601702965808734	20.5287804345804	65.3743200098145	32.9135416369979	0.113	0.139645063399462	0.993585489904147	125.811403220731
opc12.30	0.770743193803501	12.6974742973715	0	3.58344036563053	29.5845542261017	1.3975264470689	67.3365840474407	0.138	0.117742669699579	0.991643937579755	115.370322577417
opc12.31	72.0357456352897	33.5491033520627	0.407129708197935	8.05040219374671	24.7085069486399	9.86311142410721	5.22893633215329	0.314	0.0475623222816271	1.00269609379378	153.842935594197
opc12.32	66.3894020445992	13.5691864897969	0.324677428999694	11.1194687420187	62.468720385768	2.47367881871113	5.15287352645003	0.172	0.10221272541853	0.9965989629302	161.498007436344
opc12.33	62.1583400756282	0	0	2.56676136834845	35.7447121157893	61.3824177042267	6.14943344835534	0.221	0.0761919007838581	0.996161387541141	168.001664712348
opc12.34	14.4339056995138	0	0	0.187755253377669	18.0305894249692	2.14900214791694	52.5626379141551	0.202	0.0847450775745231	0.995939008533625	87.3638904399327
opc12.35	15.917806211495	0	0	6.8908348933855	23.0308538886729	56.8194819990833	39.1150779917098	0.26	0.0627618902037864	0.999026340308644	141.774054984347
opc12.36	23.8753827572159	0	1.24182623243844	39.8174117021915	70.0710390795861	6.17219942903244	13.5100210797488	0.019	0.315154421026419	1.0135312475321	154.687880280213
opc12.37	0.651180899783885	0	0.679672419655664	0.878269100418013	128.790358070431	10.4608392275612	0	0.0659999999999999	0.193363870591693	0.989710697474457	141.46031971785
opc12.38	16.0468023011298	1.51544875419702	0.833197892789178	0.527885907267114	91.9430068317144	9.8231204547129	3.19503102030659	0.023	0.304843981353077	0.985775367187919	123.884493162117
opc12.39	128.564734472712	17.6060127333265	0	0.0524862371512815	7.90635474826013	0.23163531654869	1.53080034447754	0.037	0.250882500390665	0.985893780648135	155.892023852476
opc12.40	28.1061292111793	10.5345868021121	1.00027250727429	1.68328564330922	23.2488370134146	59.5316879254611	0	0.129	0.125362268374476	0.993277764713244	124.104799102751
opc12.41	8.90611686506762	31.0600024490036	0	0.559614786134527	20.2055082785081	17.574489270633	17.8712851179705	0.164	0.105420662740383	0.993006626709775	96.1770167673174
opc12.42	15.7458481651506	2.88410832324806	0	17.8753480807602	17.1090969074645	1.44837599832617	40.751070402993	0.0639999999999999	0.195614451446547	1.02318629285304	95.8138478779426
opc12.43	25.9462773386373	4.73573313063126	0.607400970385955	13.6403900136946	46.2314740882208	29.1631673879535	24.035814626978	0.13	0.121809584569212	0.999141152589687	144.360257556501
