Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
sample.01	8.68423311583671	0.0865687833119169	0.305998860701995	69.6206961445749	0.616308698458387	1.22214244705613	0.005	0.511216513734924	1.81009657306443	80.5359480499401
sample.02	3.87482484910197	28.5600886714583	0.17777889967439	0.710524497161591	13.1224286360817	11.0750496742625	0.003	0.566634773157131	0.936711212901859	57.5206952277405
sample.03	7.96267604326141	11.4701632878995	0.311413350150165	10.9267145510757	21.2024900273663	2.43055668927906	0.004	0.529952601373834	0.846954071289804	54.3040139490322
sample.04	0	4.48263847391151	0	13.6393664142738	11.9161978966539	28.0216004099489	0.004	0.542098009629815	0.839126352094268	58.0598031947881
sample.05	12.8144937950766	10.0014564720535	0.639144895115559	4.2193882614434	31.4013768813544	2.11266357148724	0.0629999999999999	0.198669879772208	0.978354184064249	61.1885238765306
sample.06	7.52624299246708	28.8337650247129	0	27.6741440944207	7.9157904058825	4.49941149190403	0.004	0.518226975668727	0.929068131526278	76.4493540093872
sample.07	15.4937435326765	69.1356114478946	0.377792300713263	2.91258037638365	1.55348530526057	4.08883499985212	0.005	0.494875576942673	0.921917261663875	93.5620479627806
sample.08	7.37772357261394	43.9954783698126	0	4.31247632905783	11.1888103938018	23.359271842993	0.015	0.376663213321275	0.949040241135506	90.2337605082791
sample.09	26.8219743753011	0	35.3466926351281	7.97664800927911	1.77589589148268	4.31238193296536	0.048	0.229793545062714	0.971634349287658	76.2335928441563
sample.10	9.36412579085398	11.4266811346544	0.214010578355232	4.83191592422603	31.4360829128081	12.2046518123532	0.045	0.246253663712352	0.969735231019204	69.4774681532509
sample.11	7.75377823270538	5.91410495981587	0.890295004755888	3.0186397785589	31.3086035093763	3.3592259174747	0.0620000000000001	0.203552862057544	0.97875118998851	52.244647402687
sample.12	2.54703060796355	11.7797265595125	0.0908250572701406	1.87693363731725	37.003772873296	1.17623070157397	0.055	0.214748983756945	0.981049768090799	54.4745194369335
sample.13	4.9017074861795	0.287456914640568	0	5.16726574373861	5.51368495523166	44.4084183964805	0.178	0.0997625650987082	0.999717818463331	60.2785334962708
sample.14	2.53730811047337	28.3152568504216	0	16.2694826085461	8.15446389697082	24.2338423467909	0.004	0.52038041480821	0.852147345089042	79.5103538132029
sample.15	4.37379300641028	4.17661580383311	0	22.9516858381498	17.7636492786736	20.5183064251726	0	0.765104264846082	0.644029299813833	69.7840503522394
sample.16	0.881311077891356	90.3355190973035	0	1.4062140708255	0.0510990023604896	1.74252145024974	0.011	0.423271060339453	0.927444338428651	94.4166646986306
sample.17	3.79821355328559	15.1332618378616	0	4.26859318045824	5.60858149013217	21.7473862061581	0.0610000000000001	0.206588251166809	0.976410598864833	50.5560362678956
sample.18	1.07091434875287	35.3882301468523	0.223649831351643	18.4614026182062	1.31749096175941	14.4766598175709	0.002	0.588635257203716	0.808716754327965	70.9383477244933
sample.19	7.18516508234985	5.69257037893424	0	21.8908557050095	0	47.7300337830335	0.002	0.582840397496465	0.813675584560837	82.498624949327
sample.20	9.46834191280156	31.7589129177785	0	14.0029964011703	19.6396809192341	15.309224806165	0.035	0.272539270989992	0.966710548855771	90.1791569571495
sample.21	22.1784673331305	18.5856442208726	2.15666835731676	16.731397497398	4.92606001085766	6.26294352274769	0.005	0.506657509139046	0.863204735676877	70.8411809423231
sample.22	6.41742640361282	8.91064663832689	24.1586739639852	4.62958001401595	11.5899083393979	33.7536296133236	0.0639999999999999	0.195818685139268	0.980395974277634	89.4598649726624
sample.23	6.62599503559924	49.5628672137205	0.441908897067536	3.103943927986	1.69382959186725	15.9624636178661	0.069	0.189536731966009	0.979890902529727	77.3910082841065
sample.24	10.5452603341761	13.900260505354	0.508238620880549	0.688400059722973	32.8294087236021	2.63590040552334	0.155	0.114031268694999	0.992805947333034	61.1074686492591
sample.25	3.44664950243762	23.8366958981492	0	48.4038132651203	2.55622500635969	9.7618742626739	0.004	0.543197337321879	1.15724113178021	88.0052579347407
sample.26	5.42865962581108	23.3181516819229	0	6.07416405439335	33.9642988372182	12.8661276026637	0.128	0.135320147843628	0.990431604068026	81.6514018020092
sample.27	6.75098223921583	28.2234715990234	0.155640713251948	5.19274993040457	2.11139674414177	10.4414847837987	0.022	0.319584452217738	0.946840600508274	52.8757260098362
sample.28	10.3050063646208	14.1327814352575	0	1.34764820297705	18.2413398273516	21.4055277953519	0.081	0.177917371356587	0.9875481502704	65.4323036255589
sample.29	19.5507992208897	0	0	0.0836506585581296	33.4149764105498	17.1979106076631	0.053	0.219518802737026	0.99261440443204	70.2473368976606
sample.30	12.1338677140587	9.66395365110228	0	0.100637115871215	9.54417540675805	34.9627587568155	0.131	0.130692267580596	0.993723620104633	66.4053926446057
sample.31	10.9457297310921	0.479947880825861	0	2.28239059964445	36.1790360610824	19.6628533046488	0.114	0.147682152343935	0.989108289031611	69.5499575772937
sample.32	8.05752943738907	20.4743050341088	0	12.7974518370629	20.6634324952974	19.3209011432539	0.004	0.546439164826509	0.850257507972395	81.3136199471122
sample.33	15.8709972181275	8.49796298734961	0.235998687882204	2.15790323781143	25.3053900708939	8.07934975758851	0.0669999999999999	0.192109705314818	0.984099846379468	60.1476019596532
sample.34	1.74064311089546	13.8684348542452	0	1.2861393795552	29.3783129371145	6.65680571913295	0.084	0.174027788920322	0.986422449895362	52.9303360009433
sample.35	10.559919733096	19.7622472678297	0.347679834488585	11.4873709418418	22.0659373783465	10.8279701999321	0.002	0.58912581521899	0.83325996447751	75.0511253555347
