symbol	Astrocyte	Endothelial	Microglia	MO	Mural	Neuron	NFO	OPC	WC
Atp13a4	376.549363791078	0.428574033094277	0.653049614748297	1.17296838543369	2.87204478531594	7.62236595040437	3.27694869942315	27.2698927655369	37.2044868572928
Hgf	140.795744424332	0.363595823480141	0.278750462485001	0.336771496084873	2.37608038302196	3.80084079108735	0.401450573692895	3.0496553197583	20.6696000490306
Cyp4f15	201.074153326758	0.412288576160601	2.51507622285416	3.12567391889757	0.534154977135371	4.0795561729168	0.426567328835991	20.1506295457394	18.9028229916349
Chrdl1	240.352929934401	0.363595823480141	0.54210274942233	1.64840722888899	4.83022374694606	10.5469386240953	2.26140721216371	21.2072097368506	43.8648311007788
Hes5	1431.85653033075	0.97956169005873	1.96932462987791	2.02416339336065	19.9782622655164	56.1243582202554	53.7001965702596	331.122788680356	161.621676461177
Bmpr1b	148.209485094408	0.38943294269664	0.34119614109089	0.61094895804993	5.94812484928396	4.61775410295863	0.401450573692895	5.78744284797916	30.0256222138768
Slc14a1	262.562269609564	0.522981688660895	2.30570814423399	0.724085658302163	7.93016159585973	9.45345872002641	2.1150945360756	12.1541074724457	46.2227447888911
Itih3	339.020202802539	0.701459970532592	1.76027990179422	5.50368143933711	9.10263565458077	10.6692667035728	2.17644421274734	12.7030712577529	44.5354325886206
F3	810.790529034028	3.04690209511858	3.78438317880736	5.45615624580961	15.0564527176878	32.3280864070424	20.7235410074738	163.780249233292	98.0119280011518
Aqp4	1579.40295156927	4.3834821602107	2.36619560084093	4.7885539028308	68.6928937197358	61.0176498810523	3.04618888790587	51.8261736047065	408.870853841179
Dio2	552.142758944212	0.98037978066156	1.88237678561958	5.69086914000596	19.4916075838763	14.8931961378961	8.00218453927087	66.5696900160291	111.482982269209
Cldn10	717.320564953508	3.03233099249262	9.39415818618851	20.6832642865698	2.30993822180278	33.2824859669886	6.17110022606005	102.196539847307	122.176022313101
Ptx3	104.72992710743	0.473796263639619	0.278750462485001	0.336771496084873	1.69310262796933	9.13790546334986	0.401450573692895	0.648818832750108	27.7112133692491
Slc39a12	621.345951789445	2.1740685051051	14.7269123777044	11.1285130566758	13.817961177502	15.6494871434822	1.12258226097605	70.571182968274	72.316105646066
Pamr1	201.974909828339	0.468433225243287	1.79906802864901	1.95960429756118	5.48790048162264	8.50439095775548	3.00327783608384	25.2494181618873	24.7827309811305
Paqr6	108.932965972172	0.363595823480141	0.419540352324612	2.24984070831704	2.56996367994552	5.91240115217835	0.717143275833514	2.89994857739925	18.7437940447582
Slc1a3	5654.86688029587	14.0523331949208	48.8306460729456	62.9611857725615	194.072648694451	237.519637191632	49.5601431881668	740.612533682544	1250.73422522456
Gdpd2	350.283047778436	0.383817205202989	0.669486135768725	0.776675895130776	14.007295008855	24.6055542002637	2.87328613306921	16.5422446096809	52.770299339133
Ppp1r3g	109.800650684247	0.363595823480141	2.9115680931882	2.31664775385288	2.40285872394111	3.50129329554089	0.57884556044918	10.476891487909	14.8344128964726
Fgfr3	1449.7176904411	2.84304664274709	9.60973125010359	14.3690277395958	72.5369050942865	49.1117327121118	7.81145737896224	85.8658346261481	200.081536372853
Ppp1r3c	517.99592812465	1.98929637952896	2.63073397099613	5.94798407412188	28.2914687701359	14.4603614765469	1.41678932841262	16.1762166683775	92.5939683638458
Slc6a11	2762.34857346999	3.91327458734883	12.5507646609288	26.68966642826	93.4133011100185	182.028653507562	27.9197151646657	133.972104398384	603.560059371379
Gjb6	263.014049186367	1.25815971788392	5.78369996469634	11.3572061603796	3.44834600432068	5.47610354396767	1.96407284475807	78.278399766388	32.1469700461561
Entpd2	393.581065281433	2.3606440659657	3.88570339691141	4.36488862532611	11.8122496292172	26.2024911086373	1.98391654661571	24.771489882302	68.7689755629187
Grhl1	112.930355598242	0.61183178206562	1.52629815733662	1.22293180459284	0.948131228705339	4.42621892677285	6.16053203970758	2.99999894146205	12.2801099652268
Slc13a5	310.454574713236	0.402613291297795	1.64677410722264	2.83227017222102	10.2311937365013	11.1392813872135	12.1689042757212	76.1506779556944	43.2952594523991
Mlc1	1875.74212918937	6.91790503202961	35.2489813641132	45.5898485646565	47.4324033325631	99.2034456896909	5.66461813877188	163.125495073141	508.142877109631
Nwd1	263.253622656894	0.363595823480141	0.689951994724374	1.94624288845401	16.9155085836425	7.76564796882532	2.75800357907469	18.932409915717	52.5816707174278
Slc4a4	1317.78772558523	2.39468572493902	2.30404400397296	6.04080503387279	79.94815672816	65.0994948130101	6.55086243250918	88.3842241442012	252.293070969151
Vcam1	945.239795565324	23.003244278399	16.7198109341946	3.15669225754446	31.9931478898112	39.2111468988542	12.336768825858	125.017678388175	172.192748581449
Ptprz1	5064.48826830956	2.79067430033301	4.67951920771001	9.24455774028016	133.607452695259	237.552190447346	379.532697156156	1921.85697201367	1085.62574739169
Plcd4	167.660968093977	0.398711908111853	0.885669663196655	1.51178745221476	12.95075518219	3.65683818941229	0.479195491794261	6.80370049738085	24.2720499586814
Phkg1	137.621023615824	0.675139268870865	1.97218182211838	2.08900537721683	7.37850301636969	3.98899337322054	1.43936891592998	6.4604717502216	17.3260606624711
St6galnac5	302.026905907626	0.436067743016202	0.613387605193619	0.989459913359562	11.3776177993433	35.6570721759624	0.401450573692895	5.15410228289234	72.2781735808671
Tlcd1	619.306634629236	3.54930607814962	6.01678134516012	10.3561192111177	22.0812778408297	29.6302797282062	17.2212360212553	124.827116004626	100.333689510855
